,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
IDENTIFICAÇÃO,TIPO,CÓDIGO,SERVIÇO,UND,QTDE,VALOR S/BDI,VALOR C/BDI,PARCELA,PERCENTUAL_INDIVIUAL,PERCENTUAL_ACUMULADO,CLASSE
62-23-65-130 O H,PRÓPRIA,48,"QUADRO DE DISTRIBUICAO DE ENERGIA DE EMBUTIR, EM CHAPA METALICA, PARA 32 DISJUNTORES TERMOMAGNETICOS MONOPOLARES, COM BARRAMENTO TRIFASICO E NEUTRO, FORNECIMENTO E INSTALACAO (74131/6)",UN,"4,00 ","1.057,89 ","991,77 ","R$ 3.967,08","1,013619636","91,36063696",B
62-23-65-133 O H,PRÓPRIA,8,"LAMPADA LED BULBO 12W,100-240V,DIMERIZAVEL, TEMPERATURA DE COR 2.700K, FLUXO LUMINOSO 1055 LM, FABRICANTE BRILIA OU EQUIVALENTE TECNICO",UN,"100,00 ","42,03 ","39,41 ","R$ 3.941,00","1,006955994","92,36759295",B
01-11-03-005 C H,PRÓPRIA,26,"CABO DE COBRE FLEXIVEL ISOLADO, 4 MM², ANTI-CHAMA 450/750 V, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALACAO. AF_03/2023 CS: 91928",M,"600,00 ","6,90 ","6,47 ","R$ 3.882,00","0,9918810372","93,35947399",B
67-23-68-016 O H,PRÓPRIA,36,CABO PP 3 VIAS X 4MM² - FORNECIMENTO E INSTALACAO,M,"120,00 ","21,19 ","19,87 ","R$ 2.384,40","0,6092326495","93,96870664",B
01-15-04-012 C H,PRÓPRIA,34,ATERRO MANUAL DE VALAS COM AREIA PARA ATERRO. AF_08/2023 CS: 94342,M3,"20,00 ","116,07 ","108,82 ","R$ 2.176,40","0,55608704","94,52479368",B
01-11-01-045 C H,PRÓPRIA,31,"ELETRODUTO FLEXIVEL CORRUGADO, PEAD, DN50 (1 1/2), PARA REDE ENTERRADA DE DISTRIBUICAO DE ENERGIA ELETRICA - FORNECIMENTO E INSTALACAO. AF_12/2021 CS: 97667",M,"200,00 ","9,21 ","8,63 ","R$ 1.726,00","0,441006355","94,96580003",B
66-23-68-057 U H,PRÓPRIA,42,CONECTOR CUNHA AZUL (35MM2),UN,"60,00 ","29,84 ","27,98 ","R$ 1.678,80","0,4289463898","95,39474642",B
01-11-03-003 C H,PRÓPRIA,27,"CABO DE COBRE FLEXIVEL ISOLADO, 2,5 MM², ANTI-CHAMA 450/750 V, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALACAO. AF_03/2023 CS: 91926",M,"400,00 ","4,46 ","4,19 ","R$ 1.676,00","0,4282309682","95,82297739",B
67-23-68-034 O H,PRÓPRIA,24,"BRACO CURVO SIMPLES PARA LUMINARIA PUBLICA, FABRICADO EM TUBO DE ACO, COM SAPATA, GALVANIZADO A FOGO PROJECAO 2000MM, DIAMETRO DO BRACO 60MM",UN,"4,00 ","444,73 ","416,93 ","R$ 1.667,72","0,4261153641","96,24909276",C
01-11-05-011 C H,PRÓPRIA,49,"DISJUNTOR BIPOLAR TIPO DIN, CORRENTE NOMINAL DE 25A - FORNECIMENTO E INSTALACAO. AF_10/2020 CS: 93663",UN,"30,00 ","58,62 ","54,96 ","R$ 1.648,80","0,4212811577","96,67037391",C
