,,,,,,,
,,,,,,,
CÓDIGO,DESCRIÇÃO,QTDE.,VALOR UNITARIO (R$) ,PARCELA DO ITEM,PERCENTUAL_INDIVIDUAL,PERCENTUAL_ACUMULADO,CLASSE
66-23-91-143 U ,CARGA MANUAL DE ENTULHO EM CAMINHAO BASCULANTE 6 M3  (72897),"  100,00 "," R$  39,85 "," R$  3.985,00 ","0,08113148012","95,27013615",C
63-22-04-032 O H,"CONDULETE DE ALUMÖNIO, TIPO TB, PARA ELE TRODUTO DE A€O GALVANIZADO DN 20 MM (3/4), COM TAMPA, APARENTE - FORNECIMENTO E INSTALA€ÇO","  110,00 "," R$  35,78 "," R$  3.935,80 ","0,08012980664","95,35026596",C
66-23-25-002 U H,"CENTRAL DE ALARME ENDERE€AVEL, 2 LA€OS COM AT 250 DISPOSITIVOS CADA - FORNECIMENTO E INSTALA€ÇO","  1,00 "," R$  3.821,96 "," R$  3.821,96 ","0,07781211337","95,42807807",C
63-21-03-028 O H,CONDULETE DE PVC RÍGIDO ENCAIXE PARA ELETRODUTO RÍGIDO Ø 32 MM (1´´),"  150,00 "," R$  25,24 "," R$  3.786,00 ","0,07707999592","95,50515807",C
62-24-18-902 U ,LUVA PARA ELETRODUTO GALVANIZADO DE 1''- FORNECIMENTO E INSTALÇÃO,"  330,00 "," R$  11,34 "," R$  3.741,13 ","0,07616642695","95,5813245",C
67-23-68-027 O H,"ABRAÇADEIRA EM PVC PARA ELETRODUTO PARA CONDULETE Ø=3/4, INCLUINDO BUCHA E PARAFUSO","  450,00 "," R$  7,99 "," R$  3.595,50 ","0,07320156506","95,65452606",C
63-21-05-049 O H,TERMINAL OU CONECTOR DE PRESSÃO 6MM2 - FORNECIMENTO E INSTALAÇÃO,"  200,00 "," R$  17,73 "," R$  3.546,00 ","0,07219378382","95,72671984",C
01-13-01-028 C ,"TUBO PVC, SERIE NORMAL, ESGOTO PREDIAL,DN 100 MM, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89714","  75,00 "," R$  45,68 "," R$  3.426,00 ","0,06975067777","95,79647052",C
01-13-01-028 C ,"TUBO PVC, SERIE NORMAL, ESGOTO PREDIAL,DN 100 MM, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89714","  75,00 "," R$  45,68 "," R$  3.426,00 ","0,06975067777","95,8662212",C
01-13-06-102 C ,"VASO SANITÁRIO SIFONADO COM CAIXA ACOPLADA, LOUÇA BRANCA - PADRÃO ALTO - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 100878","  4,00 "," R$  840,13 "," R$  3.360,52 ","0,06841755623","95,93463876",C
01-13-06-102 C ,"VASO SANITÁRIO SIFONADO COM CAIXA ACOPLADA, LOUÇA BRANCA - PADRÃO ALTO - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 100878","  4,00 "," R$  840,13 "," R$  3.360,52 ","0,06841755623","96,00305631",C
01-13-06-102 C ,"VASO SANITÁRIO SIFONADO COM CAIXA ACOPLADA, LOUÇA BRANCA - PADRÃO ALTO - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 100878","  4,00 "," R$  840,13 "," R$  3.360,52 ","0,06841755623","96,07147387",C
62-23-68-085 U ,"PORTA DE ALUMÍNIO DE ABRIR TIPO VENEZIANA COM ACABAMENTO LETROSTÁTICA BRANCA DIM.: 90X210CM, COMPLETA - FORNECIMENTO E INSTALAÇÃO","  1,00 "," R$  3.301,81 "," R$  3.301,81 ","0,06722226659","96,13869614",C
62-23-68-085 U ,"PORTA DE ALUMÍNIO DE ABRIR TIPO VENEZIANA COM ACABAMENTO LETROSTÁTICA BRANCA DIM.: 90X210CM, COMPLETA - FORNECIMENTO E INSTALAÇÃO","  1,00 "," R$  3.301,81 "," R$  3.301,81 ","0,06722226659","96,2059184",C
62-23-68-085 U ,"PORTA DE ALUMÍNIO DE ABRIR TIPO VENEZIANA COM ACABAMENTO LETROSTÁTICA BRANCA DIM.: 90X210CM, COMPLETA - FORNECIMENTO E INSTALAÇÃO","  1,00 "," R$  3.301,81 "," R$  3.301,81 ","0,06722226659","96,27314067",C
66-24-26-504 O H,DIO (DISTRIBUIDOR INTERNO ÓPTICO) RACK 9 6FO-SC-APC SM-2F-FDIO-96-APC-2FLEX - FORNECIMENTO E INSTALAÇÃO,"  3,00 "," R$  1.077,96 "," R$  3.233,88 ","0,06583926498","96,33897993",C
63-09-01-023 O H,EMENDA PARA ELETROCALHA 400X100MM - FORNECIMENTO E INSTALAÇÃO,"  180,00 "," R$  17,84 "," R$  3.211,20 ","0,06537751793","96,40435745",C
66-23-68-038 O H,"TOMADA DUPLA PARA LÓGICA RJ45, CAT.6,COM CAIXA PVC, SOBREPOR, COMPLETA","  50,00 "," R$  62,91 "," R$  3.145,50 ","0,06403991737","96,46839737",C
66-23-91-017 U ,LONA PLÁSTICA PRETA ESP.= 150 MICRAS (ORSE/3642),"  360,00 "," R$  8,19 "," R$  2.948,40 ","0,06002711568","96,52842448",C
66-23-68-101 U H,"ABRAÇADEIRA EM PVC P/ ELETRODUTO CINZA P/ CONDULETE, 1´´ INCL. PARAFUSO E BUCHA","  350,00 "," R$  8,15 "," R$  2.852,50 ","0,05807466676","96,58649915",C
66-23-05-001 O ,"BANCADA EM GRANITO BRANCO SIENA, ESP=2CM - FORNECIMENTO E ISNTALAÇÃO","  3,00 "," R$  946,08 "," R$  2.838,24 ","0,05778434433","96,6442835",C
64-23-74-144 O H,"PATCH CORD AZUL 1,5M CAT 6 E 2 CONECTORES RJ45 MACHO CAT6","  100,00 "," R$  28,26 "," R$  2.826,00 ","0,05753514751","96,70181864",C
66-23-90-009 U ,CONECTOR BOX RETO Ø=3/4 EM ALUMÍNIO PARAELETRODUTO - FORNECIMENTO E INSTALAÇÃO,"  350,00 "," R$  7,84 "," R$  2.745,14 ","0,05588885032","96,75770749",C
63-21-05-028 O H,CAIXA DE PASSAGEM PARA TELEFONE 150X150X15CM (SOBREPOR) FORNECIMENTO E INSTALACAO  (83368),"  2,00 "," R$  1.364,73 "," R$  2.729,46 ","0,05556966869","96,81327716",C
63-21-08-071 O ,BUCHA S8 C/ PARAFUSO - FORNECIMENTO E INSTALAÇÃO,"400,00 ","6,75 ","2.700,00 ","0,05496988615","96,86824705",C
62-23-68-086 U ,"PORTA DE ALUMÍNIO DE ABRIR TIPO VENEZIANA COM ACABAMENTO LETROSTÁTICA BRANCA DIM.: 70X210CM, COMPLETA - FORNECIMENTO E INSTALAÇÃO","  1,00 "," R$  2.584,29 "," R$  2.584,29 ","0,05261412114","96,92086117",C
65-21-17-227 O ,"ABRAÇADEIRA EM PVC PARA CONDULETE, 3/4``TOP CINZA INCL. PARAFUSO E BUCHA","300,00 ","8,55 ","2.565,00 ","0,05222139185","96,97308256",C
01-13-06-102 C ,"VASO SANITÁRIO SIFONADO COM CAIXA ACOPLADA, LOUÇA BRANCA - PADRÃO ALTO - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 100878","  3,00 "," R$  840,13 "," R$  2.520,39 ","0,05131316717","97,02439573",C
63-21-03-006 O H,"CONDULETE EM PVC CINZA TIPO L,R,X,T,LR E RR DE 3/4 - FORNECIMENTO E INSTALAÇÃO","  80,00 "," R$  31,11 "," R$  2.488,80 ","0,0506700195","97,07506575",C
62-23-74-288 U ,LIXAMENTO MANUAL COM LIXA EM PINTURA EXISTENTE,"  360,00 "," R$  6,80 "," R$  2.448,00 ","0,04983936345","97,12490511",C
63-21-03-011 O H,"PERFILADO PERFURADO EM CHAPA DE AÇO, DIM 38 X 38 MM - FORNECIMENTO E INSTALAÇÃO","  90,00 "," R$  26,72 "," R$  2.404,80 ","0,04895984527","97,17386496",C
64-23-74-086 O H,BANDEJA FIXA PARA RACK 19 900MM - FORNECIMENTO E INSTALAÇÃO   ORSE/11417,"  6,00 "," R$  397,06 "," R$  2.382,36 ","0,04850298444","97,22236794",C
62-23-74-202 U H,"DRENO EM MANGUEIRA PLµSTICA DIAM. 3/8
PARA AR CONDICIONADO","  150,00 "," R$  15,61 "," R$  2.341,50 ","0,04767110683","97,27003905",C
01-18-01-022 O ,"EMASSAMENTO COM MASSA LÁTEX, APLICAÇÃO EM PAREDE, UMA DEMÃO, LIXAMENTO MANUAL. AF_04/2023 CS: 88495","  150,00 "," R$  15,33 "," R$  2.299,50 ","0,04681601971","97,31685507",C
01-12-05-011 C H,RACK FECHADO PARA SERVIDOR - FORNECIMENTO E INSTALAÇÃO. AF_11/2019 CS: 98305,"  1,00 "," R$  2.231,88 "," R$  2.231,88 ","0,04543932945","97,3622944",C
63-24-20-208 O H,"INSTALA€ÇO DE CONDICIONADOR DE AR TIPO SPLIT PISO-TETO, 60.000 BTU/H - APENAS M.O. (NOVO)","  2,00 "," R$  1.110,00 "," R$  2.220,00 ","0,04519746195","97,40749186",C
"01-13-02-395 C H
89866","JOELHO 90 GRAUS, PVC, SOLDµVEL, DN 25MM, INSTALADO EM DRENO DE AR-CONDICIONADO - FORNECIMENTO E INSTALA€ÇO. AF_08/2022 CS: 89866","  300,00 "," R$  7,00 "," R$  2.100,00 ","0,0427543559","97,45024621",C
67-23-68-041 O H,DISTRIBUIDOR ÓPTICO PARA RACK DIO 24 FIBRAS COM BANDEJA E PAINEL COM ACOPLADOR LC/LC. FORNECIMENTO E INSTALAÇÃO.,"  2,00 "," R$  1.018,18 "," R$  2.036,36 ","0,04145869532","97,49170491",C
62-23-74-280 U H,"RETIRADA, MANUTEN€ÇO E RECOLOCA€ÇO DE CONDICIONADOR DE AR PISO TETO 48.000 A 60.000 BTUïS E RECARGA DE GµS FREON R22","  4,00 "," R$  504,82 "," R$  2.019,28 ","0,04111095989","97,53281587",C
01-13-01-025 C ,"TUBO PVC, SERIE NORMAL, ESGOTO PREDIAL,DN 40 MM, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89711","  75,00 "," R$  26,73 "," R$  2.004,75 ","0,04081514047","97,57363101",C
01-13-01-025 C ,"TUBO PVC, SERIE NORMAL, ESGOTO PREDIAL,DN 40 MM, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89711","  75,00 "," R$  26,73 "," R$  2.004,75 ","0,04081514047","97,61444615",C
63-21-03-012 O H,ADAPTADOR CONDULETE TOP 1 P/ CONDULETE CINZA - FORNECIMENTO E INSTALAÇÃO,"  450,00 "," R$  4,45 "," R$  2.002,50 ","0,04076933223","97,65521548",C
63-09-01-017 U H,TÊ PARA ELETROCALHA 300X100MM - FORNECIMENTO E INSTALAÇÃO,"  15,00 "," R$  131,23 "," R$  1.968,45 ","0,04007610089","97,69529158",C
01-13-01-014 C ,"TUBO PVC, SÉRIE R, ÁGUA PLUVIAL, DN 40 MM, FORNECIDO E INSTALADO EM RAMAL DE ENCAMINHAMENTO. AF_06/2022 CS: 89508","  100,00 "," R$  19,25 "," R$  1.925,00 ","0,03919149291","97,73448308",C
01-13-01-014 C ,"TUBO PVC, SÉRIE R, ÁGUA PLUVIAL, DN 40 MM, FORNECIDO E INSTALADO EM RAMAL DE ENCAMINHAMENTO. AF_06/2022 CS: 89508","  100,00 "," R$  19,25 "," R$  1.925,00 ","0,03919149291","97,77367457",C
01-13-06-080 C ,"TORNEIRA CROMADA DE MESA PARA LAVATORIO, TIPO MONOCOMANDO. AF_01/2020 CS: 100853","  4,00 "," R$  451,83 "," R$  1.807,32 ","0,03679562024","97,81047019",C
63-09-01-021 U H,EMENDA PARA ELETROCALHA 200X100MM - FORNECIMENTO E INSTALAÇÃO,"  90,00 "," R$  19,57 "," R$  1.761,30 ","0,03585868907","97,84632888",C
63-24-11-409 O ,"CHAPISCO PARA PAREDE INTERNA OU EXTERNA COM ARGAMASSA DE CIMENTO E AREIA SEM PENEIRAR, TRAÇO 1:3,E=5MM","  150,00 "," R$  11,61 "," R$  1.741,50 ","0,03545557657","97,88178446",C
63-21-03-024 O H,"CANTONEIRA METÁLICA TIPO ZZ ALTA P/ PERFILADO 38 X 38 MM, INCLUSIVE ACESSÓRIOS DE FIXAÇÃO - FORNECIMENTO E INSTALAÇÃO","  200,00 "," R$  8,55 "," R$  1.710,00 ","0,03481426123","97,91659872",C
64-23-74-097 O H,"DERIVAÇÃO DE 110X20MM, SISTEMA X","  75,00 "," R$  21,35 "," R$  1.601,25 ","0,03260019637","97,94919891",C
63-21-05-045 O H,LUVA 110X20 SISTEMA X - 30405X - FORNECI MENTO E INSTALAÇÃO,"  120,00 "," R$  13,18 "," R$  1.581,60 ","0,03220013776","97,98139905",C
66-23-17-801 O ,REVISÃO DE ESQUADRIAS EM ALUMÍNIO ATÉ 30% DE SUBSTITUIÇÃO - FORNECIMENTO E INSTALAÇÃO,"  10,00 "," R$  157,75 "," R$  1.577,50 ","0,03211666497","98,01351572",C
64-23-74-198 O H,COLOCAÇÃO DE CHUMBADORES EXPANSÍVEIS(DIÂMETRO:1/2),"  100,00 "," R$  15,77 "," R$  1.577,00 ","0,03210648536","98,0456222",C
"01-13-02-397 C H
89868","LUVA, PVC, SOLDµVEL, DN 25MM, INSTALADO EM DRENO DE AR-CONDICIONADO - FORNECIMENTO E INSTALA€ÇO. AF_08/2022 CS: 89868","  300,00 "," R$  5,20 "," R$  1.560,00 ","0,03176037867","98,07738258",C
63-21-05-018 O H,"TERMINAL DE PRESSÃO 2,50MM2 TIPO PINO - FORNECIMENTO E INSTALAÇÃO","  200,00 "," R$  7,59 "," R$  1.518,00 ","0,03090529155","98,10828787",C
63-21-03-023 O H,ADAPTADOR CONDULETE TOP 3/4 P/ CONDULETE CINZA,"  450,00 "," R$  3,32 "," R$  1.494,00 ","0,03041667034","98,13870454",C
"01-13-02-398 C H
89869","TE, PVC, SOLDµVEL, DN 25MM, INSTALADO EM DRENO DE AR-CONDICIONADO - FORNECIMENTO E INSTALA€ÇO. AF_08/2022 CS: 89869","  150,00 "," R$  9,66 "," R$  1.449,00 ","0,02950050557","98,16820505",C
62-23-74-241 U ,"REJUNTAMENTO PARA CERÂMICA C/ ARGAMASSA,ESPESSURA DE 3MM","  75,00 "," R$  19,31 "," R$  1.448,25 ","0,02948523616","98,19769028",C
62-23-65-066 O H,"CONECTOR RJ 45 FÊMEA,CAT. 6 - ORSE:07164 FORNECIMENTO E INSTALAÇÃO","  50,00 "," R$  28,15 "," R$  1.407,50 ","0,02865559806","98,22634588",C
66-23-91-098 O ,"TORNEIRA CROMADA DE PAREDE, COM ALAVANCAFORNECIMENTO E INSTALAÇÃO","  2,00 "," R$  699,43 "," R$  1.398,86 ","0,02847969442","98,25482558",C
63-21-11-123 O ,"SABONETEIRA EM AÇO INOXIDÁVEL PARA SABONETE LÍQUIDO A GRANEL, FIXADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO","  3,00 "," R$  460,44 "," R$  1.381,32 ","0,02812259376","98,28294817",C
63-21-11-123 O ,"SABONETEIRA EM AÇO INOXIDÁVEL PARA SABONETE LÍQUIDO A GRANEL, FIXADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO","  3,00 "," R$  460,44 "," R$  1.381,32 ","0,02812259376","98,31107076",C
63-21-11-123 O ,"SABONETEIRA EM AÇO INOXIDÁVEL PARA SABONETE LÍQUIDO A GRANEL, FIXADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO","  3,00 "," R$  460,44 "," R$  1.381,32 ","0,02812259376","98,33919336",C
63-21-11-123 O ,"SABONETEIRA EM AÇO INOXIDÁVEL PARA SABONETE LÍQUIDO A GRANEL, FIXADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO","  3,00 "," R$  460,44 "," R$  1.381,32 ","0,02812259376","98,36731595",C
64-23-74-084 O H,KIT DE MONTAGEM PARAFUSO COM PORCA GAIOLA PARA RACK,"  250,00 "," R$  5,50 "," R$  1.375,00 ","0,0279939235","98,39530987",C
01-11-06-034 C H,"INTERRUPTOR INTERMEDIÁRIO (1 MÓDULO), 10A/250V, INCLUINDO SUPORTE E PLACA - FORNECIMENTO E INSTALAÇÃO. AF_03/2023 CS: 91979","  37,00 "," R$  36,93 "," R$  1.366,41 ","0,02781903783","98,42312891",C
64-23-74-163 O H,SUSPENSÃO VERTICAL PARA ELETROCALHA 200X100MM,"  50,00 "," R$  27,26 "," R$  1.363,00 ","0,0277496129","98,45087853",C
01-13-06-080 C ,"TORNEIRA CROMADA DE MESA PARA LAVATORIO, TIPO MONOCOMANDO. AF_01/2020 CS: 100853","  3,00 "," R$  451,83 "," R$  1.355,49 ","0,02759671518","98,47847524",C
01-13-06-080 C ,"TORNEIRA CROMADA DE MESA PARA LAVATORIO, TIPO MONOCOMANDO. AF_01/2020 CS: 100853","  3,00 "," R$  451,83 "," R$  1.355,49 ","0,02759671518","98,50607196",C
01-13-06-080 C ,"TORNEIRA CROMADA DE MESA PARA LAVATORIO, TIPO MONOCOMANDO. AF_01/2020 CS: 100853","  3,00 "," R$  451,83 "," R$  1.355,49 ","0,02759671518","98,53366867",C
01-13-06-056 C ,"CUBA DE EMBUTIR OVAL EM LOUÇA BRANCA, 35 X 50CM OU EQUIVALENTE, INCLUSO VÁLVULAE SIFÃO TIPO GARRAFA EM METAL CROMADO -FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86938","  3,00 "," R$  442,29 "," R$  1.326,87 ","0,02701403439","98,56068271",C
01-13-06-056 C ,"CUBA DE EMBUTIR OVAL EM LOUÇA BRANCA, 35 X 50CM OU EQUIVALENTE, INCLUSO VÁLVULAE SIFÃO TIPO GARRAFA EM METAL CROMADO -FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86938","  3,00 "," R$  442,29 "," R$  1.326,87 ","0,02701403439","98,58769674",C
66-23-91-268 O ,"ESPELHO CRISTAL, ESPESSURA 4MM, COM PARAFUSOS DE FIXAÇÃO SEM MOLDURA (85005)","  1,50 "," R$  878,10 "," R$  1.317,15 ","0,0268161428","98,61451288",C
66-23-91-268 O ,"ESPELHO CRISTAL, ESPESSURA 4MM, COM PARAFUSOS DE FIXAÇÃO SEM MOLDURA (85005)","  1,50 "," R$  878,10 "," R$  1.317,15 ","0,0268161428","98,64132903",C
66-23-91-268 O ,"ESPELHO CRISTAL, ESPESSURA 4MM, COM PARAFUSOS DE FIXAÇÃO SEM MOLDURA (85005)","  1,44 "," R$  878,10 "," R$  1.264,46 ","0,02574349708","98,66707252",C
63-22-04-049 O ,CURVA 90º PARA ELETRODUTO GALVANIZADO 3/4'' - FORNECIMENTO E INSTALAÇÃO,"  150,00 "," R$  8,21 "," R$  1.230,95 ","0,02506107649","98,6921336",C
62-23-74-203 U H,CAL€O DE BORRACHA COM PARAFUSO P/ APOIO DE UNIDADE CONDENSADORA DE AR CONDICIONADO TIPO SPLIT,"  27,00 "," R$  44,59 "," R$  1.203,93 ","0,02451107224","98,71664467",C
67-23-68-028 O H,"ORGANIZAÇÃO DE RACK 19US, COM 1 PATCH PANEL 24P CAT 6, 1 VOICE PANEL 50, 20 PARAFUSOS PORCA GAIOLA E 1 GUIA DE CABO - FORNECIMENTO E INSTALAÇÃO","  1,00 "," R$  1.180,95 "," R$  1.180,95 ","0,02404321743","98,74068789",C
01-22-01-005 C ,"DEMOLIÇÃO DE ALVENARIA PARA QUALQUER TIPO DE BLOCO, DE FORMA MECANIZADA, SEM REAPROVEITAMENTO. AF_09/2023 CS: 97625","  14,00 "," R$  80,41 "," R$  1.125,74 ","0,02291918505","98,76360707",C
63-21-03-025 O H,SUPORTE EM CHAPA DE AÇO PARA PERFILADO - FORNECIMENTO E INSTALAÇÃO,"  80,00 "," R$  13,73 "," R$  1.098,40 ","0,02236256406","98,78596964",C
63-23-91-027 O ,CUBA DE EMBUTIR TRAMONTINA ISIS 2C 34-28 BS 40 EM AÇO INOX ACENTINADO 70 X 40 CM - FORNECIMENTO E INSTALAÇÃO,"  1,00 "," R$  1.091,68 "," R$  1.091,68 ","0,02222575012","98,80819539",C
63-21-03-006 O H,"CONDULETE EM PVC CINZA TIPO L,R,X,T,LR E RR DE 3/4 - FORNECIMENTO E INSTALAÇÃO","  35,00 "," R$  31,11 "," R$  1.088,85 ","0,02216813353","98,83036352",C
66-23-68-110 U H,SAÍDA HORIZONTAL PARA ELETRODUTO 3/4,"  170,00 "," R$  6,40 "," R$  1.088,00 ","0,0221508282","98,85251435",C
62-23-68-091 U ,"SOLEIRA EM GRANITO CINZA ANDORINHA, LARGURA 28 CM, ESPESSURA 2CM","  6,00 "," R$  179,63 "," R$  1.077,78 ","0,021942757","98,87445711",C
62-23-74-282 U H,"RETIRADA, MANUTEN€ÇO E RECOLOCA€ÇO DE CONDICIONADOR DE AR SPLIT HI-WALL 22.000 A 24.000 BTUïS E RECARGA DE GµS FREON R22","  3,00 "," R$  356,95 "," R$  1.070,85 ","0,02180166763","98,89625877",C
62-23-74-288 U ,LIXAMENTO MANUAL COM LIXA EM PINTURA EXISTENTE,"  150,00 "," R$  6,80 "," R$  1.020,00 ","0,02076640144","98,91702518",C
66-23-91-280 U ,BARRA DE APOIO PARA LAVATÓRIO EM AÇO INOX PARA PORTADORES DE NECESSIDADES ESPECIAIS EM ´´U`` - FORNECIMENTO E INSTALAÇÃO,"  1,00 "," R$  1.015,71 "," R$  1.015,71 ","0,02067906039","98,93770424",C
66-23-91-280 U ,BARRA DE APOIO PARA LAVATÓRIO EM AÇO INOX PARA PORTADORES DE NECESSIDADES ESPECIAIS EM ´´U`` - FORNECIMENTO E INSTALAÇÃO,"  1,00 "," R$  1.015,71 "," R$  1.015,71 ","0,02067906039","98,9583833",C
01-13-06-069 C ,"VASO SANITARIO SIFONADO CONVENCIONAL PARA PCD SEM FURO FRONTAL COM LOUÇA BRANCASEM ASSENTO, INCLUSO CONJUNTO DE LIGAÇÃO PARA BACIA SANITÁRIA AJUSTÁVEL - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 9547","  1,00 "," R$  990,39 "," R$  990,39 ","0,02016356502","98,97854686",C
01-13-06-069 C ,"VASO SANITARIO SIFONADO CONVENCIONAL PARA PCD SEM FURO FRONTAL COM LOUÇA BRANCASEM ASSENTO, INCLUSO CONJUNTO DE LIGAÇÃO PARA BACIA SANITÁRIA AJUSTÁVEL - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 9547","  1,00 "," R$  990,39 "," R$  990,39 ","0,02016356502","98,99871043",C
63-21-05-045 O H,LUVA 110X20 SISTEMA X - 30405X - FORNECI MENTO E INSTALAÇÃO,"  75,00 "," R$  13,18 "," R$  988,50 ","0,0201250861","99,01883551",C
01-13-06-059 C ,"LAVATÓRIO LOUÇA BRANCA COM COLUNA, 45 X55CM OU EQUIVALENTE, PADRÃO MÉDIO, INCLUSO SIFÃO TIPO GARRAFA, VÁLVULA E ENGATEFLEXÍVEL DE 40CM EM METAL CROMADO, COM TORNEIRA CROMADA DE MESA, PADRÃO MÉDIO -","  1,00 "," R$  948,86 "," R$  948,86 ","0,01931804673","99,03815356",C
62-23-65-024 O H,"TOMADA PLUG MACHO TRIPOLAR (3P+T) 125A, 380 / 440V, IP67 - FORNECIMENTO E INSTALAÇÃO","  2,00 "," R$  471,10 "," R$  942,20 ","0,01918245435","99,05733601",C
63-21-03-007 O H,TAMPA CEGA PLÁSTICA 4X2 - FORNECIMENTO E INSTALAÇÃO,"  150,00 "," R$  6,20 "," R$  930,00 ","0,0189340719","99,07627009",C
62-23-65-064 U H,MÃO DE OBRA PARA CONEXÃO DE CABOS EM QUADRO ELÉTRICO DEE DISTRIBUIÇÃO (CIRCUITO),"  100,00 "," R$  9,14 "," R$  914,00 ","0,01860832442","99,09487841",C
66-22-08-028 O ,"LAVATÓRIO EM COLUNA SUSPENSA PARA SANITÁRIO PNE, INCLUSIVE ACESSÓRIOS - FORNECIMENTO E INSTALAÇÃO","  1,00 "," R$  911,68 "," R$  911,68 ","0,01856109104","99,1134395",C
66-22-08-028 O ,"LAVATÓRIO EM COLUNA SUSPENSA PARA SANITÁRIO PNE, INCLUSIVE ACESSÓRIOS - FORNECIMENTO E INSTALAÇÃO","  1,00 "," R$  911,68 "," R$  911,68 ","0,01856109104","99,13200059",C
62-23-68-031 O H,PORCA SEXTAVADA  3/8´´,"  190,00 "," R$  4,76 "," R$  904,40 ","0,01841287594","99,15041347",C
01-13-06-080 C ,"TORNEIRA CROMADA DE MESA PARA LAVATORIO, TIPO MONOCOMANDO. AF_01/2020 CS: 100853","  2,00 "," R$  451,83 "," R$  903,66 ","0,01839781012","99,16881128",C
01-11-02-010 C H,"LUVA PARA ELETRODUTO, PVC, ROSCÁVEL, DN 25 MM (3/4), PARA CIRCUITOS TERMINAIS, INSTALADA EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023 CS: 91884","  90,00 "," R$  9,82 "," R$  883,80 ","0,01799347607","99,18680475",C
62-23-65-171 U H,CURVA DE INVERSÃO P/ ELETROCALHA METÁLICA GALVANIZADA C/ DIMENSÕES 300 X 100 MM,"  8,00 "," R$  106,10 "," R$  848,80 ","0,01728090347","99,20408566",C
01-13-06-102 C ,"VASO SANITÁRIO SIFONADO COM CAIXA ACOPLADA, LOUÇA BRANCA - PADRÃO ALTO - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 100878","  1,00 "," R$  840,13 "," R$  840,13 ","0,01710438906","99,22119005",C
64-23-74-146 O H,VOICE PANEL 30 POSIÇÕES FURUKAWA OU EQUIVALENTE TÉCNICO - FORNECIMENTO E ISNTALAÇÃO,"  3,00 "," R$  270,84 "," R$  812,52 ","0,01654227107","99,23773232",C
64-23-74-159 O H,"SAÍDA HORIZONTAL PARA ELETRODUTO 1, INCLUINDO PARAFUSO, BUCHA E ARRUELA - FORNECIMENTO E INSTALAÇÃO","  80,00 "," R$  9,92 "," R$  793,60 ","0,01615707469","99,25388939",C
64-23-74-164 O H,PARAFUSO CABEÇA LENTILHA AUTO TRAV 1/4 X1/2,"  1.200,00 "," R$  0,64 "," R$  768,00 ","0,01563587873","99,26952527",C
63-21-05-056 O H,TERMINAL OU CONECTOR DE PRESSÃO 95MM2 -FORNECIMENTO E INSTALAÇÃO,"  24,00 "," R$  31,00 "," R$  744,00 ","0,01514725752","99,28467253",C
01-13-06-009 C ,SIFÃO DO TIPO GARRAFA EM METAL CROMADO 1 X 1.1/2 - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86881,"  4,00 "," R$  181,70 "," R$  726,80 ","0,01479707898","99,29946961",C
63-09-01-021 U H,EMENDA PARA ELETROCALHA 200X100MM - FORNECIMENTO E INSTALAÇÃO,"  37,00 "," R$  19,57 "," R$  724,09 ","0,01474190551","99,31421151",C
63-21-03-004 O ,"FORRO MODULAR DE PVC BR 625X1245MM, C/ PERFIL DE ALUMÍNIO ANODIZADO FOSCO - FORNECIMENTO E INSTALAÇÃO","  3,85 "," R$  187,04 "," R$  720,10 ","0,01466075367","99,32887227",C
64-23-74-165 O H,JUNÇÃO SIMPLES PARA ELETROCALHA DE150X100MM,"  30,00 "," R$  23,45 "," R$  703,50 ","0,01432270923","99,34319498",C
01-07-09-024 C ,"INSTALAÇÃO DE VIDRO LAMINADO, E = 12 MM(4+4+4), ENCAIXADO EM PERFIL U. AF_01/2021_PS CS: 102177","  0,21 "," R$  3.124,44 "," R$  656,13 ","0,01335834197","99,35655332",C
64-23-74-087 O H,BRACKET/RACK DE PAREDE FECHADO DE 12U 19- FORNECIMENTO E INSTALAÇÃO,"  1,00 "," R$  652,86 "," R$  652,86 ","0,01329171847","99,36984504",C
