,,,,,,,
,,,,,,,
CÓDIGO,DESCRIÇÃO,QTDE.,VALOR UNITARIO (R$) ,PARCELA DO ITEM,PERCENTUAL_INDIVIDUAL,PERCENTUAL_ACUMULADO,CLASSE
64-23-21-633 O ,LUMINÁRIA TIPO PLAFON HERMÉTICO DE SOBREPOR IP65 COM 2 LÂMPADAS DE LED DE 32W BIVOLT - DIMERIZÁVEL,"  80,00 "," R$  808,41 "," R$  64.672,80 ","1,316687575","66,79596555",A
64-23-23-500 O N,"SWITCH GERENCIÁVEL,48 PORTAS RJ-45,4 POR TAS SFP,LAYER 2 (CISCO 085350-24T-4G-BRUBIQUITI USW-PRO-48-POE, FORTINET OU SIMILAR TÉCNICO - FORNECIMENTO E INSTALAÇÃO","  3,00 "," R$  21.404,45 "," R$  64.213,35 ","1,307333533","68,10329908",A
66-23-91-067 O ,ESTUCAGEM DE BASE PARA PISO VINÍLICO OUCARPETE,"  992,00 "," R$  60,65 "," R$  60.164,80 ","1,224908225","69,3282073",A
01-12-03-023 C ,"AR CONDICIONADO SPLIT INVERTER, PISO TETO, APRESENTANDO ENTRE 54000 E 58000 BTU/H, CICLO FRIO - FORNECIMENTO E INSTALAÇÃO. AF_11/2021_PE CS: 103265","  2,00 ","  29.153,43 ","  58.306,86 ","1,187082021","70,51528932",A
64-24-13-001 O ,"PAREDE EM GESSO ACARTONADO (DRYWALL), RESISTENITE À UMIDADE (RU) COM PLACAS NASDUAS FACES, PARAFUSADAS EM PERFIS METÁLICOS(SEM VÃO) - FORNECIMENTO E INSTALAÇÃO","  180,00 "," R$  275,44 "," R$  49.579,20 ","1,009393696","71,52468302",A
02-02-01-019 O ,"ADMINISTRAÇÃO LOCAL PARA O.S. ENTRER$ 480.000,01 A R$ 530.000,00","  1,00 ","  47.105,06 ","  47.105,06 ","0,9590221428","72,48370516",A
"02-01-01-011 O H
90776",ADICIONAL DE HORA EXTRA AOS DOMINGOS E FERIADOS DE 110% - ENCARREGADO COM ENCARGOS COMPLEMENTARES  CS:90776,"  1.240,00 "," R$  34,20 "," R$  42.408,00 ","0,8633936785","73,34709884",A
62-23-74-207 U H,"TUBULA€ÇO FRIGORÖGENA DE INTERLIGA€ÇO P/SPLIT 22.000 E 24.000BTUïS/H,COM TUBO DECOBRE, CABO PP 4X2,5MM, FITA ISOLANTE TRMICA E ALUMINIZADA, ABRA€ADEIRA DE  NYLON E GALV. COM MÇO-DE-OBRA PARA 20,0M","  20,00 "," R$  2.095,13 "," R$  41.902,60 ","0,8531041302","74,20020297",A
66-23-91-086 U H,"TUBULA€ÇO FRIGORÖGENA DE INTERLIGA€ÇO P/SPLIT 12.000 A 18.000BTUïS/H,COM TUBO DECOBRE, CABO PP 4X2,5MM, FITA ISOLANTE TRMICA E ALUMINIZADA, ABRA€ADEIRA DE  NYLON E GALV. COM MÇO-DE-OBRA PARA 20,0M","  22,00 "," R$  1.895,26 "," R$  41.695,72 ","0,8488922154","75,04909519",A
01-18-01-022 O ,"EMASSAMENTO COM MASSA LÁTEX, APLICAÇÃO EM PAREDE, UMA DEMÃO, LIXAMENTO MANUAL. AF_04/2023 CS: 88495","  2.500,00 "," R$  15,33 "," R$  38.325,00 ","0,7802669951","75,82936218",A
