CÓDIGO,DESCRIÇÃO,QTDE.,VALOR UNITARIO (R$) ,VALOR TOTAL (R$),PERCENTUAL_IDIVIDUAL,PERCENTUAL_ACUMULADO,CLASSE
64-24-13-001 O ,"PAREDE EM GESSO ACARTONADO (DRYWALL), RESISTENITE À UMIDADE (RU) COM PLACAS NASDUAS FACES, PARAFUSADAS EM PERFIS METÁLICOS(SEM VÃO) - FORNECIMENTO E INSTALAÇÃO","  180,00 ","R$ 275,44","R$ 49.579,20","1,257716107","89,1205743",A
02-02-01-019 O ,"ADMINISTRAÇÃO LOCAL PARA O.S. ENTRER$ 480.000,01 A R$ 530.000,00","  1,00 ","R$ 47.105,06","R$ 47.105,06","1,194952575","90,31552688",A
"02-01-01-011 O H
90776",ADICIONAL DE HORA EXTRA AOS DOMINGOS E FERIADOS DE 110% - ENCARREGADO COM ENCARGOS COMPLEMENTARES  CS:90776,"  1.240,00 ","R$ 34,20","R$ 42.408,00","1,075798413","91,39132529",A
62-23-74-207 U H,"TUBULACAO FRIGORÖGENA DE INTERLIGACAO P/SPLIT 22.000 E 24.000BTUïS/H,COM TUBO DECOBRE, CABO PP 4X2,5MM, FITA ISOLANTE TRMICA E ALUMINIZADA, ABRA€ADEIRA DE  NYLON E GALV. COM MÇO-DE-OBRA PARA 20,0M","  20,00 ","R$ 2.095,13","R$ 41.902,60","1,062977518","92,45430281",A
66-23-91-086 U H,"TUBULACAO FRIGORÖGENA DE INTERLIGACAO P/SPLIT 12.000 A 18.000BTUïS/H,COM TUBO DECOBRE, CABO PP 4X2,5MM, FITA ISOLANTE TRMICA E ALUMINIZADA, ABRA€ADEIRA DE  NYLON E GALV. COM MÇO-DE-OBRA PARA 20,0M","  22,00 ","R$ 1.895,26","R$ 41.695,72","1,057729424","93,51203223",A
01-18-01-022 O ,"EMASSAMENTO COM MASSA LÁTEX, APLICAÇÃO EM PAREDE, UMA DEMÃO, LIXAMENTO MANUAL. AF_04/2023 CS: 88495","  2.500,00 ","R$ 15,33","R$ 38.325,00","0,9722216133","94,48425385",A
"02-01-01-010 O H
88264",ADICIONAL DE HORA EXTRA AOS DOMINGOS E FERIADOS DE 110% - ELETRICISTA COM ENCARGOS COMPLEMENTARES  CS:88264,"  1.240,00 ","R$ 28,77","R$ 35.674,80","0,9049918228","95,38924567",A
63-20-03-004 O H,"QGBT-SAC, CONFORME DIAGRAMA UNIFILAR EM
PROJETO","  2,00 ","R$ 16.377,72","R$ 32.755,44","0,8309340306","96,2201797",A
63-20-09-009 O ,"RETIRADA E RECOLOCAÇÃO DE BRISE EM FIBRA DE VIDRO EXISTENTE C/ 100% DE REAPROV.INCL. FIXAÇÃO C/ DESENVOLV. 70X660CM, NOVOS PARAFUSOS DE AÇO INOX, EXCL. O CINTO SEGURANÇA, EXCLUS. ANDAIME","  650,00 ","R$ 47,66","R$ 30.979,00","0,7858696245","97,00604933",A
66-23-91-292 U H,"CABO ALARME DE INCÒNDIO BLINDADO 2X1,5MM COM SHIELD - FORNECIMENTO E INSTALACAO","  2.200,00 ","R$ 13,67","R$ 30.074,00","0,7629117495","97,76896108",A
