CÓDIGO,DESCRIÇÃO,QTDE.,VALOR UNITARIO (R$) ,VALOR TOTAL (R$),PERCENTUAL_IDIVIDUAL,PERCENTUAL_ACUMULADO,CLASSE
63-21-03-028 O H,CONDULETE DE PVC RÍGIDO ENCAIXE PARA ELETRODUTO RÍGIDO Ø 32 MM (1´´),"  150,00 ","R$ 25,24","R$ 3.786,00","0,09604255781","119,0005209",B
62-24-18-902 U ,LUVA PARA ELETRODUTO GALVANIZADO DE 1''- FORNECIMENTO E INSTALÇÃO,"  330,00 ","R$ 11,34","R$ 3.741,13","0,09490424041","119,0954251",B
67-23-68-027 O H,"ABRAÇADEIRA EM PVC PARA ELETRODUTO PARA CONDULETE Ø=3/4, INCLUINDO BUCHA E PARAFUSO","  450,00 ","R$ 7,99","R$ 3.595,50","0,09120998854","119,1866351",B
63-21-05-049 O H,TERMINAL OU CONECTOR DE PRESSÃO 6MM2 - FORNECIMENTO E INSTALAÇÃO,"  200,00 ","R$ 17,73","R$ 3.546,00","0,08995428156","119,2765894",B
01-13-01-028 C ,"TUBO PVC, SERIE NORMAL, ESGOTO PREDIAL,DN 100 MM, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89714","  75,00 ","R$ 45,68","R$ 3.426,00","0,08691014344","119,3634995",B
01-13-01-028 C ,"TUBO PVC, SERIE NORMAL, ESGOTO PREDIAL,DN 100 MM, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89714","  75,00 ","R$ 45,68","R$ 3.426,00","0,08691014344","119,4504097",B
01-13-06-102 C ,"VASO SANITÁRIO SIFONADO COM CAIXA ACOPLADA, LOUÇA BRANCA - PADRÃO ALTO - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 100878","  4,00 ","R$ 840,13","R$ 3.360,52","0,08524905873","119,5356587",B
01-13-06-102 C ,"VASO SANITÁRIO SIFONADO COM CAIXA ACOPLADA, LOUÇA BRANCA - PADRÃO ALTO - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 100878","  4,00 ","R$ 840,13","R$ 3.360,52","0,08524905873","119,6209078",C
01-13-06-102 C ,"VASO SANITÁRIO SIFONADO COM CAIXA ACOPLADA, LOUÇA BRANCA - PADRÃO ALTO - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 100878","  4,00 ","R$ 840,13","R$ 3.360,52","0,08524905873","119,7061569",C
62-23-68-085 U ,"PORTA DE ALUMÍNIO DE ABRIR TIPO VENEZIANA COM ACABAMENTO LETROSTÁTICA BRANCA DIM.: 90X210CM, COMPLETA - FORNECIMENTO E INSTALAÇÃO","  1,00 ","R$ 3.301,81","R$ 3.301,81","0,08375971416","119,7899166",C
62-23-68-085 U ,"PORTA DE ALUMÍNIO DE ABRIR TIPO VENEZIANA COM ACABAMENTO LETROSTÁTICA BRANCA DIM.: 90X210CM, COMPLETA - FORNECIMENTO E INSTALAÇÃO","  1,00 ","R$ 3.301,81","R$ 3.301,81","0,08375971416","119,8736763",C
62-23-68-085 U ,"PORTA DE ALUMÍNIO DE ABRIR TIPO VENEZIANA COM ACABAMENTO LETROSTÁTICA BRANCA DIM.: 90X210CM, COMPLETA - FORNECIMENTO E INSTALAÇÃO","  1,00 ","R$ 3.301,81","R$ 3.301,81","0,08375971416","119,957436",C
66-24-26-504 O H,DIO (DISTRIBUIDOR INTERNO ÓPTICO) RACK 9 6FO-SC-APC SM-2F-FDIO-96-APC-2FLEX - FORNECIMENTO E INSTALAÇÃO,"  3,00 ","R$ 1.077,96","R$ 3.233,88","0,0820364783","120,0394725",C
63-09-01-023 O H,EMENDA PARA ELETROCALHA 400X100MM - FORNECIMENTO E INSTALAÇÃO,"  180,00 ","R$ 17,84","R$ 3.211,20","0,08146113619","120,1209336",C
66-23-68-038 O H,"TOMADA DUPLA PARA LÓGICA RJ45, CAT.6,COM CAIXA PVC, SOBREPOR, COMPLETA","  50,00 ","R$ 62,91","R$ 3.145,50","0,07979447057","120,2007281",C
66-23-91-017 U ,LONA PLÁSTICA PRETA ESP.= 150 MICRAS (ORSE/3642),"  360,00 ","R$ 8,19","R$ 2.948,40","0,0747944737","120,2755226",C
66-23-68-101 U H,"ABRAÇADEIRA EM PVC P/ ELETRODUTO CINZA P/ CONDULETE, 1´´ INCL. PARAFUSO E BUCHA","  350,00 ","R$ 8,15","R$ 2.852,50","0,07236169999","120,3478843",C
66-23-05-001 O ,"BANCADA EM GRANITO BRANCO SIENA, ESP=2CM - FORNECIMENTO E ISNTALAÇÃO","  3,00 ","R$ 946,08","R$ 2.838,24","0,07199995491","120,4198842",C
64-23-74-144 O H,"PATCH CORD AZUL 1,5M CAT 6 E 2 CONECTORES RJ45 MACHO CAT6","  100,00 ","R$ 28,26","R$ 2.826,00","0,07168945282","120,4915737",C
66-23-90-009 U ,CONECTOR BOX RETO Ø=3/4 EM ALUMÍNIO PARAELETRODUTO - FORNECIMENTO E INSTALAÇÃO,"  350,00 ","R$ 7,84","R$ 2.745,14","0,06963814766","120,5612118",C
63-21-05-028 O H,CAIXA DE PASSAGEM PARA TELEFONE 150X150X15CM (SOBREPOR) FORNECIMENTO E INSTALACAO  (83368),"  2,00 ","R$ 1.364,73","R$ 2.729,46","0,0692404437","120,6304523",C
63-21-08-071 O ,BUCHA S8 C/ PARAFUSO - FORNECIMENTO E INSTALAÇÃO,"400,00 ","R$ 6,75","R$ 2.700,00","0,06849310779","120,6989454",C
62-23-68-086 U ,"PORTA DE ALUMÍNIO DE ABRIR TIPO VENEZIANA COM ACABAMENTO LETROSTÁTICA BRANCA DIM.: 70X210CM, COMPLETA - FORNECIMENTO E INSTALAÇÃO","  1,00 ","R$ 2.584,29","R$ 2.584,29","0,0655577976","120,7645032",C
65-21-17-227 O ,"ABRAÇADEIRA EM PVC PARA CONDULETE, 3/4``TOP CINZA INCL. PARAFUSO E BUCHA","300,00 ","R$ 8,55","R$ 2.565,00","0,0650684524","120,8295716",C
01-13-06-102 C ,"VASO SANITÁRIO SIFONADO COM CAIXA ACOPLADA, LOUÇA BRANCA - PADRÃO ALTO - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 100878","  3,00 ","R$ 840,13","R$ 2.520,39","0,06393679405","120,8935084",C
63-21-03-006 O H,"CONDULETE EM PVC CINZA TIPO L,R,X,T,LR E RR DE 3/4 - FORNECIMENTO E INSTALAÇÃO","  80,00 ","R$ 31,11","R$ 2.488,80","0,06313542469","120,9566438",C
62-23-74-288 U ,LIXAMENTO MANUAL COM LIXA EM PINTURA EXISTENTE,"  360,00 ","R$ 6,80","R$ 2.448,00","0,06210041773","121,0187443",C
63-21-03-011 O H,"PERFILADO PERFURADO EM CHAPA DE AÇO, DIM 38 X 38 MM - FORNECIMENTO E INSTALAÇÃO","  90,00 ","R$ 26,72","R$ 2.404,80","0,061004528","121,0797488",C
64-23-74-086 O H,BANDEJA FIXA PARA RACK 19 900MM - FORNECIMENTO E INSTALAÇÃO   ORSE/11417,"  6,00 ","R$ 397,06","R$ 2.382,36","0,06043527417","121,1401841",C
62-23-74-202 U H,"DRENO EM MANGUEIRA PLµSTICA DIAM. 3/8
PARA AR CONDICIONADO","  150,00 ","R$ 15,61","R$ 2.341,50","0,05939874514","121,1995828",C
01-18-01-022 O ,"EMASSAMENTO COM MASSA LÁTEX, APLICAÇÃO EM PAREDE, UMA DEMÃO, LIXAMENTO MANUAL. AF_04/2023 CS: 88495","  150,00 ","R$ 15,33","R$ 2.299,50","0,0583332968","121,2579161",C
01-12-05-011 C H,RACK FECHADO PARA SERVIDOR - FORNECIMENTO E INSTALAÇÃO. AF_11/2019 CS: 98305,"  1,00 ","R$ 2.231,88","R$ 2.231,88","0,05661792497","121,314534",C
63-24-20-208 O H,"INSTALACAO DE CONDICIONADOR DE AR TIPO SPLIT PISO-TETO, 60.000 BTU/H - APENAS M.O. (NOVO)","  2,00 ","R$ 1.110,00","R$ 2.220,00","0,05631655529","121,3708506",C
"01-13-02-395 C H
89866","JOELHO 90 GRAUS, PVC, SOLDµVEL, DN 25MM, INSTALADO EM DRENO DE AR-CONDICIONADO - FORNECIMENTO E INSTALACAO. AF_08/2022 CS: 89866","  300,00 ","R$ 7,00","R$ 2.100,00","0,05327241717","121,424123",C
67-23-68-041 O H,DISTRIBUIDOR ÓPTICO PARA RACK DIO 24 FIBRAS COM BANDEJA E PAINEL COM ACOPLADOR LC/LC. FORNECIMENTO E INSTALAÇÃO.,"  2,00 ","R$ 1.018,18","R$ 2.036,36","0,05165800925","121,475781",C
62-23-74-280 U H,"RETIRADA, MANUTENCAO E RECOLOCACAO DE CONDICIONADOR DE AR PISO TETO 48.000 A 60.000 BTUïS E RECARGA DE GµS FREON R22","  4,00 ","R$ 504,82","R$ 2.019,28","0,05122472692","121,5270057",C
01-13-01-025 C ,"TUBO PVC, SERIE NORMAL, ESGOTO PREDIAL,DN 40 MM, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89711","  75,00 ","R$ 26,73","R$ 2.004,75","0,05085613253","121,5778619",C
01-13-01-025 C ,"TUBO PVC, SERIE NORMAL, ESGOTO PREDIAL,DN 40 MM, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89711","  75,00 ","R$ 26,73","R$ 2.004,75","0,05085613253","121,628718",C
63-21-03-012 O H,ADAPTADOR CONDULETE TOP 1 P/ CONDULETE CINZA - FORNECIMENTO E INSTALAÇÃO,"  450,00 ","R$ 4,45","R$ 2.002,50","0,05079905494","121,6795171",C
63-09-01-017 U H,TÊ PARA ELETROCALHA 300X100MM - FORNECIMENTO E INSTALAÇÃO,"  15,00 ","R$ 131,23","R$ 1.968,45","0,04993528075","121,7294523",C
01-13-01-014 C ,"TUBO PVC, SÉRIE R, ÁGUA PLUVIAL, DN 40 MM, FORNECIDO E INSTALADO EM RAMAL DE ENCAMINHAMENTO. AF_06/2022 CS: 89508","  100,00 ","R$ 19,25","R$ 1.925,00","0,04883304907","121,7782854",C
01-13-01-014 C ,"TUBO PVC, SÉRIE R, ÁGUA PLUVIAL, DN 40 MM, FORNECIDO E INSTALADO EM RAMAL DE ENCAMINHAMENTO. AF_06/2022 CS: 89508","  100,00 ","R$ 19,25","R$ 1.925,00","0,04883304907","121,8271184",C
01-13-06-080 C ,"TORNEIRA CROMADA DE MESA PARA LAVATORIO, TIPO MONOCOMANDO. AF_01/2020 CS: 100853","  4,00 ","R$ 451,83","R$ 1.807,32","0,04584776428","121,8729662",C
63-09-01-021 U H,EMENDA PARA ELETROCALHA 200X100MM - FORNECIMENTO E INSTALAÇÃO,"  90,00 ","R$ 19,57","R$ 1.761,30","0,04468033731","121,9176465",C
63-24-11-409 O ,"CHAPISCO PARA PAREDE INTERNA OU EXTERNA COM ARGAMASSA DE CIMENTO E AREIA SEM PENEIRAR, TRAÇO 1:3,E=5MM","  150,00 ","R$ 11,61","R$ 1.741,50","0,04417805452","121,9618246",C
63-21-03-024 O H,"CANTONEIRA METÁLICA TIPO ZZ ALTA P/ PERFILADO 38 X 38 MM, INCLUSIVE ACESSÓRIOS DE FIXAÇÃO - FORNECIMENTO E INSTALAÇÃO","  200,00 ","R$ 8,55","R$ 1.710,00","0,04337896827","122,0052036",C
64-23-74-097 O H,"DERIVAÇÃO DE 110X20MM, SISTEMA X","  75,00 ","R$ 21,35","R$ 1.601,25","0,04062021809","122,0458238",C
63-21-05-045 O H,LUVA 110X20 SISTEMA X - 30405X - FORNECI MENTO E INSTALAÇÃO,"  120,00 ","R$ 13,18","R$ 1.581,60","0,04012174047","122,0859455",C
66-23-17-801 O ,REVISÃO DE ESQUADRIAS EM ALUMÍNIO ATÉ 30% DE SUBSTITUIÇÃO - FORNECIMENTO E INSTALAÇÃO,"  10,00 ","R$ 157,75","R$ 1.577,50","0,04001773242","122,1259633",C
64-23-74-198 O H,COLOCAÇÃO DE CHUMBADORES EXPANSÍVEIS(DIÂMETRO:1/2),"  100,00 ","R$ 15,77","R$ 1.577,00","0,04000504851","122,1659683",C
"01-13-02-397 C H
89868","LUVA, PVC, SOLDµVEL, DN 25MM, INSTALADO EM DRENO DE AR-CONDICIONADO - FORNECIMENTO E INSTALACAO. AF_08/2022 CS: 89868","  300,00 ","R$ 5,20","R$ 1.560,00","0,03957379561","122,2055421",C
63-21-05-018 O H,"TERMINAL DE PRESSÃO 2,50MM2 TIPO PINO - FORNECIMENTO E INSTALAÇÃO","  200,00 ","R$ 7,59","R$ 1.518,00","0,03850834727","122,2440504",C
63-21-03-023 O H,ADAPTADOR CONDULETE TOP 3/4 P/ CONDULETE CINZA,"  450,00 ","R$ 3,32","R$ 1.494,00","0,03789951964","122,28195",C
"01-13-02-398 C H
89869","TE, PVC, SOLDµVEL, DN 25MM, INSTALADO EM DRENO DE AR-CONDICIONADO - FORNECIMENTO E INSTALACAO. AF_08/2022 CS: 89869","  150,00 ","R$ 9,66","R$ 1.449,00","0,03675796785","122,3187079",C
62-23-74-241 U ,"REJUNTAMENTO PARA CERÂMICA C/ ARGAMASSA,ESPESSURA DE 3MM","  75,00 ","R$ 19,31","R$ 1.448,25","0,03673894198","122,3554469",C
62-23-65-066 O H,"CONECTOR RJ 45 FÊMEA,CAT. 6 - ORSE:07164 FORNECIMENTO E INSTALAÇÃO","  50,00 ","R$ 28,15","R$ 1.407,50","0,03570520341","122,3911521",C
66-23-91-098 O ,"TORNEIRA CROMADA DE PAREDE, COM ALAVANCAFORNECIMENTO E INSTALAÇÃO","  2,00 ","R$ 699,43","R$ 1.398,86","0,03548602547","122,4266381",C
63-21-11-123 O ,"SABONETEIRA EM AÇO INOXIDÁVEL PARA SABONETE LÍQUIDO A GRANEL, FIXADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO","  3,00 ","R$ 460,44","R$ 1.381,32","0,03504107394","122,4616792",C
63-21-11-123 O ,"SABONETEIRA EM AÇO INOXIDÁVEL PARA SABONETE LÍQUIDO A GRANEL, FIXADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO","  3,00 ","R$ 460,44","R$ 1.381,32","0,03504107394","122,4967203",C
63-21-11-123 O ,"SABONETEIRA EM AÇO INOXIDÁVEL PARA SABONETE LÍQUIDO A GRANEL, FIXADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO","  3,00 ","R$ 460,44","R$ 1.381,32","0,03504107394","122,5317613",C
63-21-11-123 O ,"SABONETEIRA EM AÇO INOXIDÁVEL PARA SABONETE LÍQUIDO A GRANEL, FIXADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO","  3,00 ","R$ 460,44","R$ 1.381,32","0,03504107394","122,5668024",C
64-23-74-084 O H,KIT DE MONTAGEM PARAFUSO COM PORCA GAIOLA PARA RACK,"  250,00 ","R$ 5,50","R$ 1.375,00","0,03488074934","122,6016831",C
01-11-06-034 C H,"INTERRUPTOR INTERMEDIÁRIO (1 MÓDULO), 10A/250V, INCLUINDO SUPORTE E PLACA - FORNECIMENTO E INSTALAÇÃO. AF_03/2023 CS: 91979","  37,00 ","R$ 36,93","R$ 1.366,41","0,03466283978","122,636346",C
64-23-74-163 O H,SUSPENSÃO VERTICAL PARA ELETROCALHA 200X100MM,"  50,00 ","R$ 27,26","R$ 1.363,00","0,03457633552","122,6709223",C
01-13-06-080 C ,"TORNEIRA CROMADA DE MESA PARA LAVATORIO, TIPO MONOCOMANDO. AF_01/2020 CS: 100853","  3,00 ","R$ 451,83","R$ 1.355,49","0,03438582321","122,7053081",C
01-13-06-080 C ,"TORNEIRA CROMADA DE MESA PARA LAVATORIO, TIPO MONOCOMANDO. AF_01/2020 CS: 100853","  3,00 ","R$ 451,83","R$ 1.355,49","0,03438582321","122,739694",C
01-13-06-080 C ,"TORNEIRA CROMADA DE MESA PARA LAVATORIO, TIPO MONOCOMANDO. AF_01/2020 CS: 100853","  3,00 ","R$ 451,83","R$ 1.355,49","0,03438582321","122,7740798",C
01-13-06-056 C ,"CUBA DE EMBUTIR OVAL EM LOUÇA BRANCA, 35 X 50CM OU EQUIVALENTE, INCLUSO VÁLVULAE SIFÃO TIPO GARRAFA EM METAL CROMADO -FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86938","  3,00 ","R$ 442,29","R$ 1.326,87","0,03365979627","122,8077396",C
01-13-06-056 C ,"CUBA DE EMBUTIR OVAL EM LOUÇA BRANCA, 35 X 50CM OU EQUIVALENTE, INCLUSO VÁLVULAE SIFÃO TIPO GARRAFA EM METAL CROMADO -FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86938","  3,00 ","R$ 442,29","R$ 1.326,87","0,03365979627","122,8413994",C
66-23-91-268 O ,"ESPELHO CRISTAL, ESPESSURA 4MM, COM PARAFUSOS DE FIXAÇÃO SEM MOLDURA (85005)","  1,50 ","R$ 878,10","R$ 1.317,15","0,03341322108","122,8748126",C
66-23-91-268 O ,"ESPELHO CRISTAL, ESPESSURA 4MM, COM PARAFUSOS DE FIXAÇÃO SEM MOLDURA (85005)","  1,50 ","R$ 878,10","R$ 1.317,15","0,03341322108","122,9082258",C
66-23-91-268 O ,"ESPELHO CRISTAL, ESPESSURA 4MM, COM PARAFUSOS DE FIXAÇÃO SEM MOLDURA (85005)","  1,44 ","R$ 878,10","R$ 1.264,46","0,03207669224","122,9403025",C
63-22-04-049 O ,CURVA 90º PARA ELETRODUTO GALVANIZADO 3/4'' - FORNECIMENTO E INSTALAÇÃO,"  150,00 ","R$ 8,21","R$ 1.230,95","0,03122638836","122,9715289",C
62-23-74-203 U H,CAL€O DE BORRACHA COM PARAFUSO P/ APOIO DE UNIDADE CONDENSADORA DE AR CONDICIONADO TIPO SPLIT,"  27,00 ","R$ 44,59","R$ 1.203,93","0,03054107676","123,00207",C
67-23-68-028 O H,"ORGANIZAÇÃO DE RACK 19US, COM 1 PATCH PANEL 24P CAT 6, 1 VOICE PANEL 50, 20 PARAFUSOS PORCA GAIOLA E 1 GUIA DE CABO - FORNECIMENTO E INSTALAÇÃO","  1,00 ","R$ 1.180,95","R$ 1.180,95","0,02995812431","123,0320281",C
01-22-01-005 C ,"DEMOLIÇÃO DE ALVENARIA PARA QUALQUER TIPO DE BLOCO, DE FORMA MECANIZADA, SEM REAPROVEITAMENTO. AF_09/2023 CS: 97625","  14,00 ","R$ 80,41","R$ 1.125,74","0,0285575671","123,0605857",C
63-21-03-025 O H,SUPORTE EM CHAPA DE AÇO PARA PERFILADO - FORNECIMENTO E INSTALAÇÃO,"  80,00 ","R$ 13,73","R$ 1.098,40","0,02786401096","123,0884497",C
63-23-91-027 O ,CUBA DE EMBUTIR TRAMONTINA ISIS 2C 34-28 BS 40 EM AÇO INOX ACENTINADO 70 X 40 CM - FORNECIMENTO E INSTALAÇÃO,"  1,00 ","R$ 1.091,68","R$ 1.091,68","0,02769353923","123,1161432",C
63-21-03-006 O H,"CONDULETE EM PVC CINZA TIPO L,R,X,T,LR E RR DE 3/4 - FORNECIMENTO E INSTALAÇÃO","  35,00 ","R$ 31,11","R$ 1.088,85","0,0276217483","123,143765",C
66-23-68-110 U H,SAÍDA HORIZONTAL PARA ELETRODUTO 3/4,"  170,00 ","R$ 6,40","R$ 1.088,00","0,02760018566","123,1713652",C
62-23-68-091 U ,"SOLEIRA EM GRANITO CINZA ANDORINHA, LARGURA 28 CM, ESPESSURA 2CM","  6,00 ","R$ 179,63","R$ 1.077,78","0,02734092656","123,1987061",C
62-23-74-282 U H,"RETIRADA, MANUTENCAO E RECOLOCACAO DE CONDICIONADOR DE AR SPLIT HI-WALL 22.000 A 24.000 BTUïS E RECARGA DE GµS FREON R22","  3,00 ","R$ 356,95","R$ 1.070,85","0,02716512758","123,2258712",C
62-23-74-288 U ,LIXAMENTO MANUAL COM LIXA EM PINTURA EXISTENTE,"  150,00 ","R$ 6,80","R$ 1.020,00","0,02587517405","123,2517464",C
66-23-91-280 U ,BARRA DE APOIO PARA LAVATÓRIO EM AÇO INOX PARA PORTADORES DE NECESSIDADES ESPECIAIS EM ´´U`` - FORNECIMENTO E INSTALAÇÃO,"  1,00 ","R$ 1.015,71","R$ 1.015,71","0,02576634612","123,2775127",C
66-23-91-280 U ,BARRA DE APOIO PARA LAVATÓRIO EM AÇO INOX PARA PORTADORES DE NECESSIDADES ESPECIAIS EM ´´U`` - FORNECIMENTO E INSTALAÇÃO,"  1,00 ","R$ 1.015,71","R$ 1.015,71","0,02576634612","123,3032791",C
01-13-06-069 C ,"VASO SANITARIO SIFONADO CONVENCIONAL PARA PCD SEM FURO FRONTAL COM LOUÇA BRANCASEM ASSENTO, INCLUSO CONJUNTO DE LIGAÇÃO PARA BACIA SANITÁRIA AJUSTÁVEL - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 9547","  1,00 ","R$ 990,39","R$ 990,39","0,02512403297","123,3284031",C
01-13-06-069 C ,"VASO SANITARIO SIFONADO CONVENCIONAL PARA PCD SEM FURO FRONTAL COM LOUÇA BRANCASEM ASSENTO, INCLUSO CONJUNTO DE LIGAÇÃO PARA BACIA SANITÁRIA AJUSTÁVEL - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 9547","  1,00 ","R$ 990,39","R$ 990,39","0,02512403297","123,3535271",C
63-21-05-045 O H,LUVA 110X20 SISTEMA X - 30405X - FORNECI MENTO E INSTALAÇÃO,"  75,00 ","R$ 13,18","R$ 988,50","0,0250760878","123,3786032",C
01-13-06-059 C ,"LAVATÓRIO LOUÇA BRANCA COM COLUNA, 45 X55CM OU EQUIVALENTE, PADRÃO MÉDIO, INCLUSO SIFÃO TIPO GARRAFA, VÁLVULA E ENGATEFLEXÍVEL DE 40CM EM METAL CROMADO, COM TORNEIRA CROMADA DE MESA, PADRÃO MÉDIO -","  1,00 ","R$ 948,86","R$ 948,86","0,0240705075","123,4026737",C
62-23-65-024 O H,"TOMADA PLUG MACHO TRIPOLAR (3P+T) 125A, 380 / 440V, IP67 - FORNECIMENTO E INSTALAÇÃO","  2,00 ","R$ 471,10","R$ 942,20","0,02390155784","123,4265753",C
63-21-03-007 O H,TAMPA CEGA PLÁSTICA 4X2 - FORNECIMENTO E INSTALAÇÃO,"  150,00 ","R$ 6,20","R$ 930,00","0,02359207046","123,4501674",C
62-23-65-064 U H,MÃO DE OBRA PARA CONEXÃO DE CABOS EM QUADRO ELÉTRICO DEE DISTRIBUIÇÃO (CIRCUITO),"  100,00 ","R$ 9,14","R$ 914,00","0,02318618538","123,4733536",C
66-22-08-028 O ,"LAVATÓRIO EM COLUNA SUSPENSA PARA SANITÁRIO PNE, INCLUSIVE ACESSÓRIOS - FORNECIMENTO E INSTALAÇÃO","  1,00 ","R$ 911,68","R$ 911,68","0,02312733204","123,4964809",C
66-22-08-028 O ,"LAVATÓRIO EM COLUNA SUSPENSA PARA SANITÁRIO PNE, INCLUSIVE ACESSÓRIOS - FORNECIMENTO E INSTALAÇÃO","  1,00 ","R$ 911,68","R$ 911,68","0,02312733204","123,5196082",C
62-23-68-031 O H,PORCA SEXTAVADA  3/8´´,"  190,00 ","R$ 4,76","R$ 904,40","0,02294265433","123,5425509",C
01-13-06-080 C ,"TORNEIRA CROMADA DE MESA PARA LAVATORIO, TIPO MONOCOMANDO. AF_01/2020 CS: 100853","  2,00 ","R$ 451,83","R$ 903,66","0,02292388214","123,5654748",C
01-11-02-010 C H,"LUVA PARA ELETRODUTO, PVC, ROSCÁVEL, DN 25 MM (3/4), PARA CIRCUITOS TERMINAIS, INSTALADA EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023 CS: 91884","  90,00 ","R$ 9,82","R$ 883,80","0,02242007728","123,5878948",C
62-23-65-171 U H,CURVA DE INVERSÃO P/ ELETROCALHA METÁLICA GALVANIZADA C/ DIMENSÕES 300 X 100 MM,"  8,00 ","R$ 106,10","R$ 848,80","0,02153220366","123,609427",C
01-13-06-102 C ,"VASO SANITÁRIO SIFONADO COM CAIXA ACOPLADA, LOUÇA BRANCA - PADRÃO ALTO - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 100878","  1,00 ","R$ 840,13","R$ 840,13","0,02131226468","123,6307393",C
64-23-74-146 O H,VOICE PANEL 30 POSIÇÕES FURUKAWA OU EQUIVALENTE TÉCNICO - FORNECIMENTO E ISNTALAÇÃO,"  3,00 ","R$ 270,84","R$ 812,52","0,02061185924","123,6513512",C
64-23-74-159 O H,"SAÍDA HORIZONTAL PARA ELETRODUTO 1, INCLUINDO PARAFUSO, BUCHA E ARRUELA - FORNECIMENTO E INSTALAÇÃO","  80,00 ","R$ 9,92","R$ 793,60","0,02013190013","123,6714831",C
64-23-74-164 O H,PARAFUSO CABEÇA LENTILHA AUTO TRAV 1/4 X1/2,"  1.200,00 ","R$ 0,64","R$ 768,00","0,01948248399","123,6909655",C
63-21-05-056 O H,TERMINAL OU CONECTOR DE PRESSÃO 95MM2 -FORNECIMENTO E INSTALAÇÃO,"  24,00 ","R$ 31,00","R$ 744,00","0,01887365637","123,7098392",C
01-13-06-009 C ,SIFÃO DO TIPO GARRAFA EM METAL CROMADO 1 X 1.1/2 - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86881,"  4,00 ","R$ 181,70","R$ 726,80","0,0184373299","123,7282765",C
63-09-01-021 U H,EMENDA PARA ELETROCALHA 200X100MM - FORNECIMENTO E INSTALAÇÃO,"  37,00 ","R$ 19,57","R$ 724,09","0,01836858312","123,7466451",C
63-21-03-004 O ,"FORRO MODULAR DE PVC BR 625X1245MM, C/ PERFIL DE ALUMÍNIO ANODIZADO FOSCO - FORNECIMENTO E INSTALAÇÃO","  3,85 ","R$ 187,04","R$ 720,10","0,018267467","123,7649126",C
64-23-74-165 O H,JUNÇÃO SIMPLES PARA ELETROCALHA DE150X100MM,"  30,00 ","R$ 23,45","R$ 703,50","0,01784625975","123,7827588",C
01-07-09-024 C ,"INSTALAÇÃO DE VIDRO LAMINADO, E = 12 MM(4+4+4), ENCAIXADO EM PERFIL U. AF_01/2021_PS CS: 102177","  0,21 ","R$ 3.124,44","R$ 656,13","0,01664464711","123,7994035",C
64-23-74-087 O H,BRACKET/RACK DE PAREDE FECHADO DE 12U 19- FORNECIMENTO E INSTALAÇÃO,"  1,00 ","R$ 652,86","R$ 652,86","0,01656163346","123,8159651",C
62-23-65-171 U H,CURVA DE INVERSÃO P/ ELETROCALHA METÁLICA GALVANIZADA C/ DIMENSÕES 300 X 100 MM,"  6,00 ","R$ 106,10","R$ 636,60","0,01614915275","123,8321143",C
64-23-74-085 O H,ORGANIZADOR HORIZONTAL DE CABOS PARA RACK 19,"  12,00 ","R$ 48,47","R$ 581,64","0,01475493749","123,8468692",C
66-23-91-279 U ,"CHUVEIRO ELÉTRICO, LORENZETTI DUO SHOWERQUADRA OU SIMILAR, INCLUINDO INSTALAÇÃO","  1,00 ","R$ 574,36","R$ 574,36","0,01457025977","123,8614395",C
63-09-01-028 O H,REDUÇÃO CONCÊNTRICA PARA ELETROCALHA 500X100MM - 400X100MM - FORNECIMENTO E INSTALAÇÃO,"  9,00 ","R$ 63,23","R$ 569,07","0,01443606402","123,8758755",C
64-23-74-092 O H,CONECTORIZAÇÃO (CRIMPAGEM)DE CABO UTP CAT 6 EM PATCH PAINEL,"  100,00 ","R$ 5,48","R$ 548,00","0,0139015641","123,8897771",C
01-13-06-009 C ,SIFÃO DO TIPO GARRAFA EM METAL CROMADO 1 X 1.1/2 - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86881,"  3,00 ","R$ 181,70","R$ 545,10","0,01382799743","123,9036051",C
